"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J3";"Pin_Header_Straight_2x03";1;"JUMP_3X2";;;
2;"R1,R2,R3,R4,R5,R7,R9,R11,R13,R15,R16,R18,R24";"SMD-0805";13;"10k";;;
3;"R6,R8,R10,R12,R14,R17,R19,R20";"SMD-0805";8;"-";;;
4;"U1";"TSSOP-28";1;"TCA6416A";;;
5;"J8,J5";"Pin_Header_Straight_1x02";2;"CONN1_2";;;
6;"P1,P2,P3,P4";"MountingHole_3mm";4;"_";;;
7;"J1";"Pin_Header_Straight_2x02";1;"JUMP_2X2";;;
8;"J2";"Pin_Header_Straight_2x05";1;"JUMP_5X2";;;
9;"J6,J7";"Pin_Header_Straight_2x08";2;"JUMP_8X2";;;
10;"J4,J9";"Pin_Header_Straight_1x02";2;"CONN_2";;;
11;"C1";"SMD-0805";1;"10uF";;;
12;"C2";"SMD-0805";1;"100nF";;;
13;"D1";"Diode-MiniMELF_Standard";1;"BZV55C-3,6V";;;
