Device:R_Small;SMD-0805;10k;['R1', 'R5']
Device:R_Small;SMD-0805;0;['R4']
Device:R_Small;SMD-0805;R_Small;['R2']
Device:R_Small;SMD-0805;-;['R3']
Device:R_Small;SMD-0805;SPI;['R6']
Device:R_Small;SMD-0805;I2C;['R7', 'R9', 'R8']
Device:D_Small;Diode-MELF_Standard;M4;['D1']
Device:L_Small;Coilcraft_MA5532-AE_RFID;L_Small;['L1']
MLAB_Jumpers:JUMP2_2x1;Straight_2x01;JUMP2_2x1;['J1']
MLAB_Jumpers:JUMP_3X2;Straight_2x03;JUMP_3X2;['J10']
Device:CP_Small;SMD-0805;C/U;['C4']
Device:C_Small;SMD-0805;C_Small;['C1']
Device:C_Small;SMD-0805;100nF;['C5']
Device:C_Small;SMD-0805;10uF;['C2']
Device:C_Small;SMD-0805;1uF;['C3']
MLAB_IO:AS3935;MLPQ-16;AS3935;['U1']
MLAB_Jumpers:JUMP_2x1;Straight_2x01;JUMP_2x1;['J2', 'J3', 'J4', 'J5', 'J6', 'J7', 'J8', 'J9']
MLAB_MECHANICAL:HOLE;MountingHole_3mm;HOLE;['M1', 'M2', 'M3', 'M4']
