"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"J1";"Pin_Header_Straight_1x03:Pin_Header_Straight_2x03";1;"JUMP_3X2";;;
2;"R1,R2,R4,R6,R7";"SMD_Packages:SMD-0805";5;"10k";;;
3;"C1";"SMD_Packages:SMD-0805";1;"100nF";;;
4;"C2";"SMD_Packages:SMD-0805";1;"10uF";;;
5;"R3";"SMD_Packages:SMD-0805";1;"0R";;;
6;"R5";"SMD_Packages:SMD-0805";1;"-";;;
7;"U1";"SMD_Packages:TSSOP-16";1;"SC18IS602B";;;
8;"J4";"Hrebinky:Pin_Header_Straight_2x03";1;"JUMP_3X2";;;
9;"J3";"Hrebinky:Pin_Header_Straight_2x07";1;"JUMP_7X2";;;
10;"J2";"Hrebinky:Pin_Header_Straight_2x05";1;"JUMP_5X2";;;
11;"P1,P2,P3,P4";"Dira:MountingHole_3mm";4;"_";;;
12;"J5,J6,J7";"Hrebinky:Pin_Header_Straight_1x02";3;"CONN_2";;;
13;"D1";"MLAB_D:Diode-MiniMELF_Standard";1;"BZV55C-3,6V";;;
