"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"R12,R7";"SMD-0805";2;"10k";;;
2;"M6";"BMI-S-210-F";1;"BMI-S-210-F";;;
3;"BT1";"CH28-2032";1;"CH28-2032";;;
4;"C1";"TantalC_SizeC_Reflow";1;"47uF";;;
5;"C3,C17";"SMD-0805";2;"4u7";;;
6;"C4,C6,C7,C8,C9";"SMD-0805";5;"10uF";;;
7;"C5";"SMD-0805";1;"1pF - 251R15S1R0AV4E";;;
8;"C10,C11,C12,C13,C14,C16,C20";"SMD-0805";7;"100nF";;;
9;"C15";"SMD-0805";1;"3n3";;;
10;"C18";"SMD-0805";1;"2n2";;;
11;"C19";"SMD-0805";1;"1nF";;;
12;"D1";"Diode-SMA_Standard";1;"M4";;;
13;"J1";"Straight_2x03";1;"3.6V";;;
14;"J2,J3,J4,J5,J6,J7,J11";"Straight_2x01";7;"HEADER_2x01_PARALLEL";;;
15;"M1,M2,M3,M4";"MountingHole_3mm";4;"HOLE";;;
16;"R2,R3,R4,R5";"SMD-0805";4;"100";;;
17;"R6";"SMD-0805";1;"10M";;;
18;"R8,R10";"SMD-0805";2;"1k";;;
19;"R9";"SMD-0805";1;"15k";;;
20;"R11";"SMD-0805";1;"4k7";;;
21;"R13";"SMD-0805";1;"2k2";;;
22;"U1,U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"OPA2314";;;
23;"U4";"SOT-23-5_HandSoldering";1;"TS7211";;;
24;"U5";"SOT-23-5_HandSoldering";1;"TS5A4594";;;
25;"R15";"SMD-0805";1;"-";;;
26;"U3";"SOT-23";1;"ISL21080DIH312Z-TK  1V25";;;
27;"U6";"SOT-23";1;"LM4041CIM3-1.2(neosazovat)";;;
28;"M5";"BMIS-209-C";1;"BMIS-209-C";;;
29;"D2";"HAMAMATSU_S2744-09_rozs";1;"D_Photo";;;
30;"C2,C21,C22,C23,C24,C25";"FIR1";6;"EMI_Filter_C";;;
31;"R1";"SMD-0805";1;"10R";;;
